compression,compression_level,format,nprocs,operation,runtime,size_in_bytes
,,zarr,12,write,0.03125905990600586,8000000
,,hdf,12,write,0.12283158302307129,8000000
,,zarr,12,write,0.023644685745239258,8000000
,,hdf,12,write,0.06328606605529785,8000000
,,zarr,12,write,0.02304816246032715,8000000
,,hdf,12,write,0.09855341911315918,8000000
,,zarr,12,write,0.0224149227142334,8000000
,,hdf,12,write,0.04726409912109375,8000000
,,zarr,12,write,0.02161121368408203,8000000
,,hdf,12,write,0.08129572868347168,8000000
,,zarr,12,write,0.024146318435668945,8000000
,,hdf,12,write,0.059845685958862305,8000000
,,zarr,12,write,0.023629426956176758,8000000
,,hdf,12,write,0.051491737365722656,8000000
,,zarr,12,write,0.02213764190673828,8000000
,,hdf,12,write,0.09102034568786621,8000000
,,zarr,12,write,0.02309727668762207,8000000
,,hdf,12,write,0.03949332237243652,8000000
,,zarr,12,write,0.02383875846862793,8000000
,,hdf,12,write,0.08263587951660156,8000000
,,zarr,12,write,0.03027629852294922,8000000
,,hdf,12,write,0.14029979705810547,8000000
,,zarr,12,write,0.02353811264038086,8000000
,,hdf,12,write,0.05876493453979492,8000000
,,zarr,12,write,0.026133298873901367,8000000
,,hdf,12,write,0.10178780555725098,8000000
,,zarr,12,write,0.023824453353881836,8000000
,,hdf,12,write,0.10826778411865234,8000000
,,zarr,12,write,0.025632143020629883,8000000
,,hdf,12,write,0.10655927658081055,8000000
,,zarr,12,write,0.024776697158813477,8000000
,,hdf,12,write,0.15683221817016602,8000000
,,zarr,12,write,0.02527332305908203,8000000
,,hdf,12,write,0.0684366226196289,8000000
,,zarr,12,write,0.025454998016357422,8000000
,,hdf,12,write,0.029963254928588867,8000000
,,zarr,12,write,0.02541661262512207,8000000
,,hdf,12,write,0.09828948974609375,8000000
,,zarr,12,write,0.02450275421142578,8000000
,,hdf,12,write,0.028266191482543945,8000000
,,zarr,12,write,0.027707815170288086,8000000
,,hdf,12,write,0.09562492370605469,8000000
,,zarr,12,write,0.024858713150024414,8000000
,,hdf,12,write,0.04136967658996582,8000000
,,zarr,12,write,0.025011777877807617,8000000
,,hdf,12,write,0.5142781734466553,8000000
,,zarr,12,write,0.025755643844604492,8000000
,,hdf,12,write,0.16042637825012207,8000000
,,zarr,12,write,0.023093461990356445,8000000
,,hdf,12,write,0.07825517654418945,8000000
,,zarr,12,write,0.02454662322998047,8000000
,,hdf,12,write,0.09188032150268555,8000000
,,zarr,12,write,0.025256633758544922,8000000
,,hdf,12,write,0.10568571090698242,8000000
,,zarr,12,write,0.022927284240722656,8000000
,,hdf,12,write,0.11139988899230957,8000000
,,zarr,12,write,0.020871400833129883,8000000
,,hdf,12,write,0.15126776695251465,8000000
,,zarr,12,write,0.03272819519042969,8000000
,,hdf,12,write,0.1264798641204834,8000000
,,zarr,12,write,0.022158384323120117,8000000
,,hdf,12,write,0.05933237075805664,8000000
,,zarr,12,write,0.022235393524169922,8000000
,,hdf,12,write,0.09067511558532715,8000000
,,zarr,12,write,0.026973962783813477,8000000
,,hdf,12,write,0.10872364044189453,8000000
,,zarr,12,write,0.028459787368774414,8000000
,,hdf,12,write,0.07161760330200195,8000000
,,zarr,12,write,0.0238037109375,8000000
,,hdf,12,write,0.07610917091369629,8000000
