compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,18,write,0.9703025817871094,800000,0
,,hdf,18,write,0.04187583923339844,800000,0
,,zarr,18,write,0.210097074508667,800000,1
,,hdf,18,write,0.026743412017822266,800000,1
,,zarr,18,write,0.2538127899169922,800000,2
,,hdf,18,write,0.05171775817871094,800000,2
,,zarr,18,write,0.22196197509765625,800000,3
,,hdf,18,write,0.009283781051635742,800000,3
,,zarr,18,write,0.2656521797180176,800000,4
,,hdf,18,write,0.01866626739501953,800000,4
,,zarr,18,write,0.23521995544433594,800000,5
,,hdf,18,write,0.018790245056152344,800000,5
,,zarr,18,write,0.22705721855163574,800000,6
,,hdf,18,write,0.016490697860717773,800000,6
,,zarr,18,write,0.2039182186126709,800000,7
,,hdf,18,write,0.022230148315429688,800000,7
,,zarr,18,write,0.22454357147216797,800000,8
,,hdf,18,write,0.013978242874145508,800000,8
,,zarr,18,write,0.2385392189025879,800000,9
,,hdf,18,write,0.03122091293334961,800000,9
,,zarr,18,write,0.19566845893859863,800000,10
,,hdf,18,write,0.023070096969604492,800000,10
,,zarr,18,write,0.23791003227233887,800000,11
,,hdf,18,write,0.01023554801940918,800000,11
,,zarr,18,write,0.20650076866149902,800000,12
,,hdf,18,write,0.026935815811157227,800000,12
,,zarr,18,write,0.24253273010253906,800000,13
,,hdf,18,write,0.012780427932739258,800000,13
,,zarr,18,write,0.20852017402648926,800000,14
,,hdf,18,write,0.005018949508666992,800000,14
,,zarr,18,write,0.20588898658752441,800000,15
,,hdf,18,write,0.07456326484680176,800000,15
,,zarr,18,write,0.21222925186157227,800000,16
,,hdf,18,write,0.011873960494995117,800000,16
,,zarr,18,write,0.21541285514831543,800000,17
,,hdf,18,write,0.0373992919921875,800000,17
,,zarr,18,write,0.2192385196685791,800000,18
,,hdf,18,write,0.026944398880004883,800000,18
,,zarr,18,write,0.24208903312683105,800000,19
,,hdf,18,write,0.009806394577026367,800000,19
,,zarr,18,write,0.2051401138305664,800000,20
,,hdf,18,write,0.02286839485168457,800000,20
,,zarr,18,write,0.22168898582458496,800000,21
,,hdf,18,write,0.048660993576049805,800000,21
,,zarr,18,write,0.21854281425476074,800000,22
,,hdf,18,write,0.02384328842163086,800000,22
,,zarr,18,write,0.2347116470336914,800000,23
,,hdf,18,write,0.016338586807250977,800000,23
,,zarr,18,write,0.23218417167663574,800000,24
,,hdf,18,write,0.010132789611816406,800000,24
,,zarr,18,write,0.21587085723876953,800000,25
,,hdf,18,write,0.03764796257019043,800000,25
,,zarr,18,write,0.20593810081481934,800000,26
,,hdf,18,write,0.024487733840942383,800000,26
,,zarr,18,write,0.2077343463897705,800000,27
,,hdf,18,write,0.011605978012084961,800000,27
,,zarr,18,write,0.2054612636566162,800000,28
,,hdf,18,write,0.034009456634521484,800000,28
,,zarr,18,write,0.23029041290283203,800000,29
,,hdf,18,write,0.030582666397094727,800000,29
,,zarr,18,write,0.26492810249328613,800000,30
,,hdf,18,write,0.01876997947692871,800000,30
,,zarr,18,write,0.22431612014770508,800000,31
,,hdf,18,write,0.030755281448364258,800000,31
,,zarr,18,write,0.22130656242370605,800000,32
,,hdf,18,write,0.022589683532714844,800000,32
,,zarr,18,write,0.18456459045410156,800000,33
,,hdf,18,write,0.04786205291748047,800000,33
,,zarr,18,write,0.2210390567779541,800000,34
,,hdf,18,write,0.0818333625793457,800000,34
,,zarr,18,write,0.2359175682067871,800000,35
,,hdf,18,write,0.022327899932861328,800000,35
,,zarr,18,write,0.24676275253295898,800000,36
,,hdf,18,write,0.027818918228149414,800000,36
,,zarr,18,write,0.22690248489379883,800000,37
,,hdf,18,write,0.04729819297790527,800000,37
,,zarr,18,write,0.23265361785888672,800000,38
,,hdf,18,write,0.008976936340332031,800000,38
,,zarr,18,write,0.21800708770751953,800000,39
,,hdf,18,write,0.036210060119628906,800000,39
,,zarr,18,write,0.24699187278747559,800000,40
,,hdf,18,write,0.0173189640045166,800000,40
,,zarr,18,write,0.1998882293701172,800000,41
,,hdf,18,write,0.05493450164794922,800000,41
,,zarr,18,write,0.20844554901123047,800000,42
,,hdf,18,write,0.01847219467163086,800000,42
,,zarr,18,write,0.24113249778747559,800000,43
,,hdf,18,write,0.015724658966064453,800000,43
,,zarr,18,write,0.21785950660705566,800000,44
,,hdf,18,write,0.04011225700378418,800000,44
,,zarr,18,write,0.21844100952148438,800000,45
,,hdf,18,write,0.019284963607788086,800000,45
,,zarr,18,write,0.22994518280029297,800000,46
,,hdf,18,write,0.019488096237182617,800000,46
,,zarr,18,write,0.21835970878601074,800000,47
,,hdf,18,write,0.017039775848388672,800000,47
,,zarr,18,write,0.2561006546020508,800000,48
,,hdf,18,write,0.020232200622558594,800000,48
,,zarr,18,write,0.2245044708251953,800000,49
,,hdf,18,write,0.043801069259643555,800000,49
,,zarr,18,write,0.22613310813903809,800000,50
,,hdf,18,write,0.052793025970458984,800000,50
,,zarr,18,write,0.2185511589050293,800000,51
,,hdf,18,write,0.030208587646484375,800000,51
,,zarr,18,write,0.22282075881958008,800000,52
,,hdf,18,write,0.01636648178100586,800000,52
,,zarr,18,write,0.21107864379882812,800000,53
