compression,compression_level,format,nested,nprocs,operation,runtime,size_in_bytes,step
,,zarr,False,36,write,1.954927921295166,4000000,0
,,hdf,,36,write,0.05656552314758301,4000000,0
,,zarr,False,36,write,0.9701039791107178,4000000,1
,,hdf,,36,write,0.08098626136779785,4000000,1
,,zarr,False,36,write,1.0014564990997314,4000000,2
,,hdf,,36,write,0.08646631240844727,4000000,2
,,zarr,False,36,write,0.9849832057952881,4000000,3
,,hdf,,36,write,0.08214783668518066,4000000,3
,,zarr,False,36,write,0.9690041542053223,4000000,4
,,hdf,,36,write,0.09087204933166504,4000000,4
,,zarr,False,36,write,1.0025207996368408,4000000,5
,,hdf,,36,write,0.09074187278747559,4000000,5
,,zarr,False,36,write,1.0056238174438477,4000000,6
,,hdf,,36,write,0.08534431457519531,4000000,6
,,zarr,False,36,write,1.0189323425292969,4000000,7
,,hdf,,36,write,0.04179835319519043,4000000,7
,,zarr,False,36,write,0.9987754821777344,4000000,8
,,hdf,,36,write,0.13998126983642578,4000000,8
,,zarr,False,36,write,0.9706029891967773,4000000,9
,,hdf,,36,write,0.06412458419799805,4000000,9
,,zarr,False,36,write,1.0850591659545898,4000000,10
,,hdf,,36,write,0.06580901145935059,4000000,10
,,zarr,False,36,write,1.0373461246490479,4000000,11
,,hdf,,36,write,0.040582895278930664,4000000,11
,,zarr,False,36,write,1.0079431533813477,4000000,12
,,hdf,,36,write,0.07748198509216309,4000000,12
,,zarr,False,36,write,0.9704551696777344,4000000,13
,,hdf,,36,write,0.06978225708007812,4000000,13
,,zarr,False,36,write,0.9786868095397949,4000000,14
,,hdf,,36,write,0.07205820083618164,4000000,14
,,zarr,False,36,write,1.0165140628814697,4000000,15
,,hdf,,36,write,0.03984332084655762,4000000,15
,,zarr,False,36,write,0.9865443706512451,4000000,16
,,hdf,,36,write,0.05085396766662598,4000000,16
,,zarr,False,36,write,1.030810832977295,4000000,17
,,hdf,,36,write,0.052796363830566406,4000000,17
,,zarr,False,36,write,1.0004730224609375,4000000,18
,,hdf,,36,write,0.07661056518554688,4000000,18
,,zarr,False,36,write,1.0150306224822998,4000000,19
,,hdf,,36,write,0.057502031326293945,4000000,19
,,zarr,False,36,write,1.0129151344299316,4000000,20
,,hdf,,36,write,0.034441232681274414,4000000,20
,,zarr,False,36,write,1.0182294845581055,4000000,21
,,hdf,,36,write,0.05925107002258301,4000000,21
,,zarr,False,36,write,0.9235806465148926,4000000,22
,,hdf,,36,write,0.07198214530944824,4000000,22
,,zarr,False,36,write,0.9857769012451172,4000000,23
,,hdf,,36,write,0.03866410255432129,4000000,23
,,zarr,False,36,write,0.9927675724029541,4000000,24
,,hdf,,36,write,0.06113743782043457,4000000,24
,,zarr,False,36,write,1.0003993511199951,4000000,25
,,hdf,,36,write,0.11671590805053711,4000000,25
,,zarr,False,36,write,1.0146498680114746,4000000,26
,,hdf,,36,write,0.10044074058532715,4000000,26
,,zarr,False,36,write,0.9475584030151367,4000000,27
,,hdf,,36,write,0.07460594177246094,4000000,27
,,zarr,False,36,write,0.9966363906860352,4000000,28
,,hdf,,36,write,0.047989606857299805,4000000,28
,,zarr,False,36,write,0.9883804321289062,4000000,29
,,hdf,,36,write,0.10301589965820312,4000000,29
,,zarr,False,36,write,0.968792200088501,4000000,30
,,hdf,,36,write,0.07377195358276367,4000000,30
,,zarr,False,36,write,1.0317142009735107,4000000,31
,,hdf,,36,write,0.08127355575561523,4000000,31
,,zarr,False,36,write,1.004460334777832,4000000,32
,,hdf,,36,write,0.08309674263000488,4000000,32
,,zarr,False,36,write,0.9572012424468994,4000000,33
,,hdf,,36,write,0.09497690200805664,4000000,33
,,zarr,False,36,write,0.9406440258026123,4000000,34
,,hdf,,36,write,0.04726362228393555,4000000,34
,,zarr,False,36,write,1.02152419090271,4000000,35
,,hdf,,36,write,0.04506850242614746,4000000,35
,,zarr,False,36,write,1.0136644840240479,4000000,36
,,hdf,,36,write,0.05986499786376953,4000000,36
,,zarr,False,36,write,1.0658676624298096,4000000,37
,,hdf,,36,write,0.053858041763305664,4000000,37
,,zarr,False,36,write,1.0617914199829102,4000000,38
,,hdf,,36,write,0.05812835693359375,4000000,38
,,zarr,False,36,write,0.9968574047088623,4000000,39
,,hdf,,36,write,0.053107261657714844,4000000,39
,,zarr,False,36,write,0.9733374118804932,4000000,40
,,hdf,,36,write,0.05446124076843262,4000000,40
,,zarr,False,36,write,0.964202880859375,4000000,41
,,hdf,,36,write,0.10125398635864258,4000000,41
,,zarr,False,36,write,0.9800660610198975,4000000,42
,,hdf,,36,write,0.06265759468078613,4000000,42
,,zarr,False,36,write,1.0245165824890137,4000000,43
,,hdf,,36,write,0.08115363121032715,4000000,43
,,zarr,False,36,write,0.9880833625793457,4000000,44
,,hdf,,36,write,0.037412166595458984,4000000,44
,,zarr,False,36,write,0.9704573154449463,4000000,45
,,hdf,,36,write,0.06443071365356445,4000000,45
,,zarr,False,36,write,1.1163356304168701,4000000,46
,,hdf,,36,write,0.061933279037475586,4000000,46
,,zarr,False,36,write,0.9937891960144043,4000000,47
,,hdf,,36,write,0.07568740844726562,4000000,47
,,zarr,False,36,write,0.9817771911621094,4000000,48
,,hdf,,36,write,0.053998708724975586,4000000,48
,,zarr,False,36,write,1.0978648662567139,4000000,49
,,hdf,,36,write,0.09025788307189941,4000000,49
,,zarr,False,36,write,0.9901597499847412,4000000,50
,,hdf,,36,write,0.03226613998413086,4000000,50
,,zarr,False,36,write,0.9969415664672852,4000000,51
,,hdf,,36,write,0.08682823181152344,4000000,51
,,zarr,False,36,write,1.0271549224853516,4000000,52
,,hdf,,36,write,0.035979270935058594,4000000,52
,,zarr,False,36,write,1.0039589405059814,4000000,53
,,hdf,,36,write,0.032846927642822266,4000000,53
,,zarr,False,36,write,0.9591917991638184,4000000,54
,,hdf,,36,write,0.06885099411010742,4000000,54
,,zarr,False,36,write,1.0233917236328125,4000000,55
,,hdf,,36,write,0.06223773956298828,4000000,55
,,zarr,False,36,write,1.045527696609497,4000000,56
,,hdf,,36,write,0.03442120552062988,4000000,56
