compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,4,write,0.030306577682495117,8000000,0
,,hdf,4,write,0.006869077682495117,8000000,0
,,zarr,4,write,0.014336109161376953,8000000,1
,,hdf,4,write,0.003916263580322266,8000000,1
,,zarr,4,write,0.010675668716430664,8000000,2
,,hdf,4,write,0.0031270980834960938,8000000,2
,,zarr,4,write,0.015594244003295898,8000000,3
,,hdf,4,write,0.003154754638671875,8000000,3
,,zarr,4,write,0.012186288833618164,8000000,4
,,hdf,4,write,0.0031151771545410156,8000000,4
,,zarr,4,write,0.016141176223754883,8000000,5
,,hdf,4,write,0.003176450729370117,8000000,5
,,zarr,4,write,0.012117147445678711,8000000,6
,,hdf,4,write,0.0032312870025634766,8000000,6
,,zarr,4,write,0.015715599060058594,8000000,7
,,hdf,4,write,0.003104686737060547,8000000,7
,,zarr,4,write,0.012133359909057617,8000000,8
,,hdf,4,write,0.00308990478515625,8000000,8
,,zarr,4,write,0.015772581100463867,8000000,9
,,hdf,4,write,0.0031957626342773438,8000000,9
,,zarr,4,write,0.012131690979003906,8000000,10
,,hdf,4,write,0.0032083988189697266,8000000,10
,,zarr,4,write,0.015735149383544922,8000000,11
,,hdf,4,write,0.0032944679260253906,8000000,11
,,zarr,4,write,0.012108325958251953,8000000,12
,,hdf,4,write,0.0031576156616210938,8000000,12
,,zarr,4,write,0.015650510787963867,8000000,13
,,hdf,4,write,0.0031328201293945312,8000000,13
,,zarr,4,write,0.012128591537475586,8000000,14
,,hdf,4,write,0.0031735897064208984,8000000,14
,,zarr,4,write,0.015558958053588867,8000000,15
,,hdf,4,write,0.0031540393829345703,8000000,15
,,zarr,4,write,0.012312889099121094,8000000,16
,,hdf,4,write,0.004794597625732422,8000000,16
,,zarr,4,write,0.015657901763916016,8000000,17
,,hdf,4,write,0.0031938552856445312,8000000,17
,,zarr,4,write,0.012169599533081055,8000000,18
,,hdf,4,write,0.003176450729370117,8000000,18
,,zarr,4,write,0.015559196472167969,8000000,19
,,hdf,4,write,0.003096342086791992,8000000,19
,,zarr,4,write,0.012045145034790039,8000000,20
,,hdf,4,write,0.0030765533447265625,8000000,20
,,zarr,4,write,0.015707731246948242,8000000,21
,,hdf,4,write,0.004967212677001953,8000000,21
,,zarr,4,write,0.012067556381225586,8000000,22
,,hdf,4,write,0.0031239986419677734,8000000,22
,,zarr,4,write,0.01577591896057129,8000000,23
,,hdf,4,write,0.0031728744506835938,8000000,23
,,zarr,4,write,0.012186765670776367,8000000,24
,,hdf,4,write,0.0030705928802490234,8000000,24
,,zarr,4,write,0.015959978103637695,8000000,25
,,hdf,4,write,0.003115415573120117,8000000,25
,,zarr,4,write,0.012257814407348633,8000000,26
,,hdf,4,write,0.0031347274780273438,8000000,26
,,zarr,4,write,0.01566791534423828,8000000,27
,,hdf,4,write,0.005022287368774414,8000000,27
,,zarr,4,write,0.01216888427734375,8000000,28
,,hdf,4,write,0.003127574920654297,8000000,28
,,zarr,4,write,0.01586008071899414,8000000,29
,,hdf,4,write,0.003201007843017578,8000000,29
,,zarr,4,write,0.012284517288208008,8000000,30
,,hdf,4,write,0.003179788589477539,8000000,30
,,zarr,4,write,0.015815258026123047,8000000,31
,,hdf,4,write,0.003109455108642578,8000000,31
,,zarr,4,write,0.01252293586730957,8000000,32
,,hdf,4,write,0.0032346248626708984,8000000,32
,,zarr,4,write,0.01594066619873047,8000000,33
,,hdf,4,write,0.0030395984649658203,8000000,33
,,zarr,4,write,0.012288808822631836,8000000,34
,,hdf,4,write,0.0031087398529052734,8000000,34
,,zarr,4,write,0.015694856643676758,8000000,35
,,hdf,4,write,0.0030946731567382812,8000000,35
,,zarr,4,write,0.012527227401733398,8000000,36
,,hdf,4,write,0.003124237060546875,8000000,36
,,zarr,4,write,0.015778779983520508,8000000,37
,,hdf,4,write,0.003103494644165039,8000000,37
,,zarr,4,write,0.013124704360961914,8000000,38
,,hdf,4,write,0.0032329559326171875,8000000,38
,,zarr,4,write,0.015976905822753906,8000000,39
,,hdf,4,write,0.0031049251556396484,8000000,39
,,zarr,4,write,0.012242555618286133,8000000,40
,,hdf,4,write,0.0031256675720214844,8000000,40
,,zarr,4,write,0.015912294387817383,8000000,41
,,hdf,4,write,0.0030329227447509766,8000000,41
,,zarr,4,write,0.012252092361450195,8000000,42
,,hdf,4,write,0.003070831298828125,8000000,42
,,zarr,4,write,0.015731096267700195,8000000,43
,,hdf,4,write,0.004776477813720703,8000000,43
,,zarr,4,write,0.012436866760253906,8000000,44
,,hdf,4,write,0.0031211376190185547,8000000,44
,,zarr,4,write,0.015711069107055664,8000000,45
,,hdf,4,write,0.0031790733337402344,8000000,45
,,zarr,4,write,0.012426137924194336,8000000,46
,,hdf,4,write,0.0031671524047851562,8000000,46
,,zarr,4,write,0.015877246856689453,8000000,47
,,hdf,4,write,0.003101348876953125,8000000,47
,,zarr,4,write,0.012436389923095703,8000000,48
,,hdf,4,write,0.00490117073059082,8000000,48
,,zarr,4,write,0.015833616256713867,8000000,49
,,hdf,4,write,0.003188610076904297,8000000,49
,,zarr,4,write,0.012508869171142578,8000000,50
,,hdf,4,write,0.003095388412475586,8000000,50
,,zarr,4,write,0.01573801040649414,8000000,51
,,hdf,4,write,0.003095388412475586,8000000,51
,,zarr,4,write,0.012547492980957031,8000000,52
,,hdf,4,write,0.00308990478515625,8000000,52
,,zarr,4,write,0.01589345932006836,8000000,53
,,hdf,4,write,0.0031697750091552734,8000000,53
